Point measurements

Generated: Monday 30 October 2023 11:11:21

Filename,Frame,Time (mins),Period,Period time (mins),Image row,Image col,Width,Height,OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Depth,Sub_Slope,Notes
NS09_T2_ROV_20230811.depth.mp4,  10912,,,,549.49,1332.24,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,,,Attracted,164.0,M_30,
NS09_T2_ROV_20230811.depth.mp4,  10913,,,,607.65,1650.46,0,0,ROV,Hutton,NA,NA,,,,,,,,,Bothidae,Citharichthys,sordidus,172716,1,AD,Passing,164.0,M_30,
NS09_T2_ROV_20230811.depth.mp4,  11787,,,,896.04,521.26,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,1,AD,Passing,152.9,M_30,
NS09_T2_ROV_20230811.depth.mp4,  12173,,,,134.11,1471.17,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,,,1,AD,Passing,143.4,M_30,
NS09_T2_ROV_20230811.depth.mp4,  12461,,,,499.65,1250.32,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,1,,Passing,139.9,M_30,
NS09_T2_ROV_20230811.depth.mp4,  12540,,,,467.60,1269.31,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,1,AD,Passing,137.7,M_30,
NS09_T2_ROV_20230811.depth.mp4,  12795,,,,631.38,673.25,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,,,Attracted,129.9,R_60,
NS09_T2_ROV_20230811.depth.mp4,  12797,,,,141.23,514.14,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,pinniger,166734,1,AD,Passing,129.9,R_60,
NS09_T2_ROV_20230811.depth.mp4,  13422,,,,658.68,315.84,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,,,1,AD,Passing,109.2,R_60,puget sound?
NS09_T2_ROV_20230811.depth.mp4,  13579,,,,78.33,1488.98,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,maliger,166726,1,AD,Passing,107.7,R_60,
NS09_T2_ROV_20230811.depth.mp4,  13599,,,,253.98,1143.45,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,pinniger,166734,1,AD,Passing,107.4,R_60,
NS09_T2_ROV_20230811.depth.mp4,  13607,,,,71.21,942.78,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,emphaeus,166718,4,AD,Passing,107.4,R_60,?
NS09_T2_ROV_20230811.depth.mp4,  13833,,,,840.26,712.43,0,0,ROV,Hutton,NA,NA,,,,,,,,,Hexagrammidae,Hexagrammos,decagrammus,167110,1,AD,Passing,103.8,M_60,
NS09_T2_ROV_20230811.depth.mp4,  15213,,,,229.05,1110.20,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Scorpaenichthys,,,40,J,Passing,75.2,R_60,
NS09_T2_ROV_20230811.depth.mp4,  15467,,,,860.44,1071.02,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,,,Attracted,76.9,C_30,
NS09_T2_ROV_20230811.depth.mp4,  15600,,,,839.08,1091.21,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,pinniger,166734,4,AD,Passing,76.7,C_30,
NS09_T2_ROV_20230811.depth.mp4,  15774,,,,909.10,674.43,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,,,1,AD,Passing,75.6,C_30,
NS09_T2_ROV_20230811.depth.mp4,  15984,,,,734.64,1049.65,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,,,Attracted,66.2,R_60,
NS09_T2_ROV_20230811.depth.mp4,  16795,,,,524.57,1418.92,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,4,,Passing,51.0,R_60,
NS09_T2_ROV_20230811.depth.mp4,  16826,,,,653.93,1633.84,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,1,AD,Passing,50.7,R_60,
NS09_T2_ROV_20230811.depth.mp4,  16964,,,,941.14,554.51,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,1,AD,Passing,49.0,R_60,
NS09_T2_ROV_20230811.depth.mp4,  17023,,,,858.07,885.79,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,1,AD,Passing,48.2,R_60,
NS09_T2_ROV_20230811.depth.mp4,  18105,,,,691.91,986.72,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,,,Attracted,67.0,M_0,
NS09_T2_ROV_20230811.depth.mp4,  18303,,,,678.86,1158.89,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,,,,,,End
NS10_T2_ROV_20230811.depth.mp4,   8329,,,,623.08,980.78,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,,,,,,Start
NS10_T2_ROV_20230811.depth.mp4,   8339,,,,560.18,1046.09,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,,,Attracted,251.1,R_90,
NS10_T2_ROV_20230811.depth.mp4,   8339,,,,314.51,1293.06,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,maliger,166726,1,AD,Passing,251.1,R_90,
NS10_T2_ROV_20230811.depth.mp4,   8430,,,,784.48,1766.83,0,0,ROV,Hutton,NA,NA,,,,,,,,,Hexagrammidae,Ophiodon,elongatus,167116,1,AD,Passing,250.0,B_90,?
NS10_T2_ROV_20230811.depth.mp4,   8683,,,,244.48,1339.37,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,,,3,AD,Passing,249.5,B_90,Canary or copper
NS10_T2_ROV_20230811.depth.mp4,   9953,,,,651.56,743.30,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,,,Attracted,231.4,B_60,
NS10_T2_ROV_20230811.depth.mp4,  10377,,,,681.23,469.02,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,maliger,166726,1,AD,Passing,223.0,B_60,
NS10_T2_ROV_20230811.depth.mp4,  10720,,,,569.67,1611.28,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,maliger,166726,1,AD,Passing,215.8,B_60,
NS10_T2_ROV_20230811.depth.mp4,  10852,,,,691.91,159.11,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,maliger,166726,1,AD,Passing,212.1,B_60,
NS10_T2_ROV_20230811.depth.mp4,  11489,,,,719.21,1410.61,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,,,Attracted,198.4,R_90,
NS10_T2_ROV_20230811.depth.mp4,  12012,,,,754.81,1535.29,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,,,1,AD,Passing,205.6,R_90,
NS10_T2_ROV_20230811.depth.mp4,  12027,,,,505.58,1028.27,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,,,,,,End
NS11_T2_ROV_20230811.depth.mp4,   3005,,,,486.59,958.22,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,,,Attracted,125.8,M_30,
NS11_T2_ROV_20230811.depth.mp4,   5298,,,,540.00,959.41,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,,,Attracted,102.3,C_60,
NS11_T2_ROV_20230811.depth.mp4,   8388,,,,509.14,1036.59,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,60,,Scavenging,51.9,C_90,
NS11_T2_ROV_20230811.depth.mp4,   9175,,,,633.76,1327.50,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,,,,,,End
NS12_T2_ROV_20230812.depth.mp4,   5050,,,,510.33,828.79,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,,,Attracted,163.5,B_30,
NS12_T2_ROV_20230812.depth.mp4,   5050,,,,619.46,652.04,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,,,,,,Start
NS12_T2_ROV_20230812.depth.mp4,   5168,,,,500.84,1787.01,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,pinniger,166734,1,AD,Passing,162.4,B_30,
NS12_T2_ROV_20230812.depth.mp4,   5465,,,,259.91,547.38,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,pinniger,166734,1,AD,Passing,158.5,B_30,
NS12_T2_ROV_20230812.depth.mp4,   5529,,,,380.97,135.36,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,,,2,AD,Passing,156.1,B_30,
NS12_T2_ROV_20230812.depth.mp4,   5672,,,,216.00,985.53,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,,,4,AD,Passing,155.0,B_30,
NS12_T2_ROV_20230812.depth.mp4,   5896,,,,684.79,404.90,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,,,1,AD,Passing,154.5,B_30,vermillion?
NS12_T2_ROV_20230812.depth.mp4,   6081,,,,121.05,529.57,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,,,4,AD,Passing,154.9,B_30,
NS12_T2_ROV_20230812.depth.mp4,   6510,,,,538.81,1288.31,0,0,ROV,Hutton,NA,NA,,,,,,,,,,,,,,,,,,ROV_pulled
NS12_T2_ROV_20230812.depth.mp4,   8113,,,,173.27,876.29,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,,,4,AD,Scavenging,129.7,B_30,
NS12_T2_ROV_20230812.depth.mp4,   9663,,,,136.48,484.45,0,0,ROV,Hutton,NA,NA,,,,,,,,,Scorpaenidae,Sebastes,,,5,AD,Scavenging,147.9,B_30,Possible repeat
